번호,대분류,중분류,소분류,제목,동영상주소
1,국민체력100,백세편살 운동처방,집콕운동,집중력 버프가 필요할 때? (ep1. 뇌를 자극시키는 집중력 향상 운동) 집콕운동,https://youtu.be/6AiSi3E3ifs
2,국민체력100,백세편살 운동처방,집콕운동,운동 효과도 더블로가 (ep2. 수다잼 운동잼 짝 스트레칭),https://youtu.be/2gHcoelhHw0
3,국민체력100,백세편살 운동처방,집콕운동,깨어나세요 용사여..! (ep3. 체력 +999 강화 운동),https://youtu.be/CRMpWponGIc
4,국민체력100,백세편살 운동처방,집콕운동,꽃보다 근력! 꽃중년을 위한 의자운동 (ep4. 부상 없는 어르신 운동),https://youtu.be/6ulvd_mw_uo
5,국민체력100,백세편살 운동처방,집콕운동,[ENG] 뻣뻣한 몸이 10분만에 말랑말랑! (ep5. 10가지 스트레칭 루틴) 10min Home Workout｜Stretching Routine,https://youtu.be/6ies7bJfYRs
6,국민체력100,백세편살 운동처방,집콕운동,키는 쑥쑥! 체형은 바르게 (ep.6 바른 성장을 위한 키즈 요가),https://youtu.be/YevYZNaPgEw
7,국민체력100,백세편살 운동처방,집콕운동,키는 쑥쑥! 체형은 바르게 (ep.6 바른 성장을 위한 키즈 요가),https://youtu.be/4ZLaumFIAfk
8,국민체력100,백세편살 운동처방,집콕운동,일상을 멈출 수 없다면 통증을 멈추세요! (ep.8 시니어를 위한 하체와 코어 요가),https://youtu.be/clifZdPnX9E
9,국민체력100,백세편살 운동처방,집콕운동,추석이 끝나도 붓기 없는 몸을 선물하는 스트레칭 하루 7분 (ep.9 명절 증후군 없애는 스트레칭),https://youtu.be/OtFsfY1RzO4
10,국민체력100,백세편살 운동처방,집콕운동,추석 먹부림으로 급찐살 빼는 운동 송편한접시쯤 그냥 빠질 듯 6분 운동 (ep.10 칼로리 소모를 높이는 전신운동),https://youtu.be/AygL5ZUWD-k
11,국민체력100,백세편살 운동처방,집콕운동,딱 5분! 중상급자 상체 챌린지 홈트 프로운동러 처방사님도 땀이 주루룩 (ep.11 중상급자를 위한 상체 챌린지),https://youtu.be/owKBuruZh6o
12,국민체력100,백세편살 운동처방,집콕운동,딱 5분! 중상급자 하체 챌린지 홈트 과연 당신은 할 수 있을지?!! (ep.12 중상급자를 위한 하체 챌린지),https://youtu.be/Gw73tXd_Wow
13,국민체력100,백세편살 운동처방,집콕운동,북극한파 빙판길에서 살아남는 10분 운동법 (ep.13 낙상 예방 운동) 10min WORKOUT,https://youtu.be/ZqVxVExFDuA
14,국민체력100,백세편살 운동처방,집콕운동,뼈가 튼튼해지는 10분 운동법 (ep.14 골밀도 강화 운동),https://youtu.be/uUT9odWaPPw
15,국민체력100,백세편살 운동처방,집콕운동,집에서 사뿐사뿐 유산소 운동 가능? 웅가능!!! 체력향상  다이어트  땀뻘뻘 홈트 (ep.15 NO층간소음 #1),https://youtu.be/DuSIEmcodeU
16,국민체력100,백세편살 운동처방,집콕운동,누운 김에 11자 복근 만들어드립니다 체력향상  코어  복근 (ep.16 NO층간소음 #2),https://youtu.be/OJk1dk-Px1c
17,국민체력100,백세편살 운동처방,집콕운동,리얼 집콕운동 (feat.해병대 출신) 양치  재택근무  설거지  빨래할 때 추천 운동(ep.17 NO층간소음 #4)_다이어트  칼로리소모  땀나는 운동  지방감소,https://youtu.be/5OuS13W2DYw
18,국민체력100,백세편살 운동처방,집콕운동,[ASMR운동] #1. 조용하게 칼로리 태우기 아기 몰래 운동하는 법 ,https://youtu.be/9Sk2Xfgcb9c
19,국민체력100,백세편살 운동처방,집콕운동,[소도구 운동] #1. 물병편 철이 없었죠. 물병이 없어서 운동을 못했다는 것 자체가 유산소  전신  근력  상체  하체  복근,https://youtu.be/vBT9uYhj9WI
20,국민체력100,백세편살 운동처방,집콕운동,[소도구 운동] #2. 계단편 운동할 곳 없다는 핑계는 NO! 계단이 있잖아요 유산소  전신  근력,https://youtu.be/TEFpZBNPXBU
21,국민체력100,백세편살 운동처방,다이어트 댄스,사랑의 재개발 &찐이야 트로트 다이어트 댄스 칼로리 소모 끝판왕 신이난다 신이나,https://youtu.be/SppuZgNfIFo
22,국민체력100,백세편살 운동처방,다이어트 댄스,순정 &천생연분 90년대 추억의 노래와 함께 그 시절의 몸으로 BACK 체력도 BACK ,https://youtu.be/E_dWHCrHbfM
23,국민체력100,백세편살 운동처방,다이어트 댄스,내 나이가 어때서 &진또배기 흥이난다 흥이나 집에서 명절느낌내기,https://youtu.be/HIaBlv0MGek
24,국민체력100,백세편살 운동처방,다이어트 댄스,Dynamite &주라주라 스트레스 뿌셔뿌셔 고민걱정 날리GO 지방 날리GO,https://youtu.be/osn4_oxOBZI
25,국민체력100,백세편살 운동처방,다이어트 댄스,Savage Love &Bad 다이어트 댄스(탄력밴드ver.) 지방 다 태워버리는 매운맛 운동,https://youtu.be/uj3K878KnFo
26,국민체력100,백세편살 운동처방,다이어트 댄스,Uptown Funk &HandClap 다이어트 댄스(서바이벌ver.) 누가 서바이벌만 합니까. 같이 살 뺍니다. 실시!,https://youtu.be/3YolNeNanLU
